"Manufacturer","Module","Transceiver Chip","Antenna","Sleep","TX","RX","TX Power","Sensitivity","PCB Size","Released","Interfacing","Protocol stacks"
"FlexiPanel Ltd","EasyBee summary datasheet","Texas Instruments CC2420 datasheet errata","integral","","18 mA","20 mA","0 dBm","","26 mm x 20 mm","Mar, 2008","?","ZigBee stack"
"Embit","EMB-TRX169PA, 169 MHz
webpage","CC1120 datasheet","U.FL connector","<1 µA","400  mA @ +27 dBm","27 mA (full sens.)","27 dBm","-122 dBm","16 mm x 26 mm","2013","UART, SPI, JTAG","Wireless M-Bus stack"
"Microchip Technology","MRF24J40MAdatasheet","MRF24J40 datasheet","PCB trace","2 µA","23 mA","19 mA","0 dBm","-94 dBm","17.8 mm x 27.9 mm","Jun, 2008","SPI","Microchip ZigBee MiWi MiWi P2P"
"/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","SPI","/!\ This cell is not defined /!\"
"Radiocrafts","RC2200datasheet","Texas Instruments CC2420 datasheet errata","8-bit ATmega128","4 kB","128 kB","integrated, MMCX connector or RF on pin connector","23 µA, 1.3 µA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm x 29.2 mm x 3.5 mm","2008","UART, SPI, JTAG, ISP","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2201datasheet","Texas Instruments CC2420 datasheet errata","8-bit ATmega128","8 kB","128 kB","integrated, MMCX connector or RF on pin connector","1.3 µA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm x 29.2 mm x 3.5 mm","2008","UART, SPI, JTAG, ISP","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2202datasheet","Texas Instruments CC2420 datasheet errata","8-bit ATmega128","2 kB","32 kB","integrated, MMCX connector or RF on pin connector","1.3 µA","23 mA","26 mA","0 dBm","-94 dBm","16.5 mm x 29.2 mm x 3.5 mm","2008","UART, SPI, JTAG, ISP","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2204datasheet","Texas Instruments CC2420 datasheet errata","8-bit ATmega128","4 kB","64 kB","integrated, MMCX connector or RF on pin connector","23 µA, 1.3 µA","27 mA","30 mA","0 dBm","-94 dBm","16.5 mm x 29.2 mm x 3.5 mm","2008","UART, SPI, JTAG, ISP","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2201HP datasheet","Texas Instruments CC2420 datasheet errata","8-bit ATmega1281","8 kB","128 kB","integrated or RF-on-pin connector","40 µA, 2 µA","140 mA","28 mA","17 dBm","-92 dBm","16.5 mm x 35.6 mm x 3.5 mm","Jan 2008","UART, SPI, JTAG, ISP","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2300 datasheet","Texas Instruments CC2430 (CC2431 for location engine option)datasheet errata","8-bit 8051","8 kB","128 kB","integrated or RF-on-pin connector","300 µA, 0.9 µA, 0.6 µA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm x 25.4 mm x 2.5 mm","Jul 2008","UART, SPI, proprietary serial debugging interface","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2301 datasheet","Texas Instruments CC2430 (CC2431 for location engine option)datasheet errata","8-bit 8051","8 kB","128 kB","integrated or RF-on-pin connector","300 µA, 0.9 µA, 0.6 µA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm x 25.4 mm x 2.5 mm","Jul 2008","UART, SPI, proprietary serial debugging interface","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2302 datasheet","Texas Instruments CC2430 (CC2431 for location engine option)datasheet errata","8-bit 8051","8 kB","32 kB","integrated or RF-on-pin connector","300 µA, 0.9 µA, 0.6 µA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm x 25.4 mm x 2.5 mm","Jul 2008","UART, SPI, proprietary serial debugging interface","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"Radiocrafts","RC2304 datasheet","Texas Instruments CC2430 (CC2431 for location engine option)datasheet errata","8-bit 8051","8 kB","64 kB","integrated or RF-on-pin connector","300 µA, 0.9 µA, 0.6 µA","27 mA","27 mA","0 dBm","-92 dBm","12.7 mm x 25.4 mm x 2.5 mm","Jul 2008","UART, SPI, proprietary serial debugging interface","Texas Instruments Z-stack or any third-party ZigBee stack","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2405 datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","RFIO pad","3 µA","28 mA","27 mA","0 dBm","-92 dBm","30.5 mm x 21.2 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2430 datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","RFIO pad","3 µA","28 mA","27 mA","0 dBm","-92 dBm","25 mm x 20.3 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2430A datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","built-in","3 µA","28 mA","27 mA","-2 dBm","-90 dBm","25 mm x 26.9 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2405HP datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","RFIO pad","3 µA","130 mA","33 mA","17 dBm","-95 dBm","40.6 mm x 21.2 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2405HPA datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","built-in","3 µA","130 mA","33 mA","15 dBm","-95 dBm","47 mm x 21.2 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2430HP datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","RFIO pad","3 µA","130 mA","33 mA","17 dBm","-95 dBm","30.48 mm x 25 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"RF Monolithics","ZMN2430HPA datasheet","Texas Instruments CC2430 datasheet errata","8-bit 8051","8 kB","128 kB","built-in","3 µA","130 mA","33 mA","15 dBm","-95 dBm","36.83 mm x 25 mm","2008","UART, SPI,","ZigBee stack, RFM’s CSM standard module application profile","/!\ This cell is not defined /!\"
"Radios, Inc.","MXR-EM20 datasheet","Ember 2420 datasheet","8-bit ATmega128L","4 kB","128 kB","RF on pin","20 µA","17.4 mA","19.7 mA","0 dBm","-94 dBm","25.4 mm x 18.4 mm","Oct, 2005","SPI","ZigBee stack","/!\ This cell is not defined /!\"
"FlexiPanel Ltd","Pixie summary datasheet","Texas Instruments CC2420 datasheet errata","PIC18LF4620","4 kB","64 kB","integral","2 µA","25 mA","25 mA","0 dBm","","","Mar, 2008","UART, SPI","Microchip ZigBee","/!\ This cell is not defined /!\"
"FlexiPanel Ltd","Pixie Lite summary datasheet","Texas Instruments CC2420 datasheet errata","PIC18LF2520","1.5 kB","32 kB","integral","2 µA","25 mA","25 mA","0 dBm","","","Mar, 2008","UART, SPI","Microchip ZigBee",""
"Telegesis Ltd","ETRX2 brochure datasheet","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","integrated, U.FL connector or 50Ω pad","1 µA, 1.5 µA","35.5 mA, 41.5 mA, 28 mA","35.5 mA, 37.5 mA","3 dBm, 5 dBm","−94 dBm, −95 dBm, −98 dBm, −99 dBm","37.75 mm x 20.45 mm","2008","SIF, UART, I²C, SPI","Ember ZNet Stack","/!\ This cell is not defined /!\"
"Telegesis Ltd","ETRX2-PA brochure datasheet","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","integrated, U.FL connector or 50Ω pad","0.8 µA, 1.5 µA, 3 µA, 3.5 µA","56 mA, 63 mA, 106 mA, 120 mA, 121 mA","37 mA","0 dBm, 10 dBm, 18.5 dBm, 17.5 dBm","−92 dBm, −93 dBm, −96 dBm, −97 dBm","37.75 mm x 20.5 mm","2009","SIF, UART, I²C, SPI","Ember ZNet Stack","/!\ This cell is not defined /!\"
"Telegesis Ltd","ETRX2USB brochure datasheet","Ember (now Silicon Labs) EM250 factsheet datasheet","16-bit 12 MHz RISC","5 kB","128 kB","integrated","32 mA, 27 mA, 26 mA","55 mA, 62 mA","62 mA","3 dBm, 18 dBm","","","2008","SIF","Ember ZNet Stack","/!\ This cell is not defined /!\"
"Telegesis Ltd","ETRX351 brochure datasheet","Silicon Labs (former Ember) EM351 factsheetdatasheet","32-bit ARM Cortex -M3 Processor","12 kB","128 kB","Integrated chip antenna or U.FL coaxial connector","<1 µA","31 mA","22 mA","8 dBm","−102 dBm","25 mm x 19 mm","2011","","Ember ZNet Stack","/!\ This cell is not defined /!\"
"Telegesis Ltd","ETRX357 brochure datasheet","Silicon Labs (former Ember) EM357 factsheetdatasheet","32-bit ARM Cortex -M3 Processor","12 kB","192 kB","Integrated chip antenna or U.FL coaxial connector","<1 µA","31 mA","22 mA","8 dBm","−102 dBm","25 mm x 19 mm","2011","","Ember ZNet Stack","/!\ This cell is not defined /!\"
