"Provider","Win.","Linux","Mac","Android","BlackBerry","iOS","Encrypted storage","Personal Encryption","Secure Key Management","Limited MB plan","Unlimited MB plan","$/MB plan","Unlimited BW","Provider","Cloud hosted Net Drive","P2P","Sync","Autodetect changes","Public file hosting","physical media restore","Server location(s)","Free online storage (non-trial)","Maximum per-file size","External hard drive support","Hybrid Option","Green Hosting","ITAR Compliant","Provider"
"Provider","Win.","Linux","Mac","Android","BlackBerry","iOS","Encrypted storage","Personal Encryption","Secure Key Management","Limited MB plan","Unlimited MB plan","$/MB plan","Unlimited BW","Provider","Cloud hosted Net Drive","P2P","Sync","Autodetect changes","Public file hosting","physical media restore","Server location","Free online storage (non-trial)","Maximum per-file size","External hard drive support","Hybrid Option","Green Hosting","ITAR Compliant","Provider"
"Jungle Disk","Yes","Yes","Yes","","No","","Yes","Yes","?","","","Yes","","Jungle Disk","Yes","","Yes","","","","United States, Europe","No","5 GB","","","Partial, Amazon AWS or Rackspace Cloud Files.","No","Jungle Disk"
"KeepVault","Yes","No","No","","","","Yes","Yes","?","Yes","No","Yes","","KeepVault","","","","Yes","","","United States","","20 GB","","","","No","KeepVault"
"KineticD","Yes","No","Yes","Yes","No","Yes","Yes","No","?","No","Yes","Yes","Yes","KineticD","Yes","No","No","Yes","Yes","Yes","Canada","No","No limit","Yes","Yes","","","KineticD"
"Livedrive","Yes","No","Yes","Yes","Playbook only","Yes","No","No","?","Yes","Online Backup only","No","Yes","Livedrive","Yes (paid-only)","No","Yes","Yes","Yes","Yes","United Kingdom","No","No limit","Yes","","","No","Livedrive"
"MediaFire","Yes","Upload only","Yes","Yes","No","Yes","Yes","Yes","?","Yes","No","Yes","Yes","MediaFire","No","No","Yes","Yes","Yes","","United States","10 GB","No Limit","No","No","","No","MediaFire"
"MEGA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","No","Yes","Yes","MEGA","No","No","Yes","Yes, using MEGAsync client","Yes","No","Europe, New Zealand","50 GB","No limit","No","No","","No","MEGA"
"Memopal","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","","","Yes","","Memopal","","","Yes","","Yes","Yes","United States, Europe, Asia","3 GB","5 GB","","","","No","Memopal"
"MiMedia","Yes","No","No","","","","Yes","No","?","Yes","No","Yes","Yes","MiMedia","Yes","No","No","Yes","No","No","United States","7 GB","3 GB","Yes","","","No","MiMedia"
"Mozy","Yes","No","Yes","Yes","No","Yes","Yes","Optional","?","Yes","No","","","Mozy","","No","No","No","","Yes","United States, Europe","2 GB","No limit","Yes","No","","No","Mozy"
"Nextiva Drive","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","100 GB","Yes","No","No","Nextiva Drive","Yes","Yes","Yes","Yes","No","No","United States","Yes","4 GB","Yes","Yes","Yes","No","Nextiva Drive"
"OneDrive","Yes","No, see note","Yes","Yes","No, but 3rd party apps available","Yes","No","No","?","Yes","No","","","OneDrive","Yes","","Yes","","","","","15 GB for new users, 25 GB for older users","10 GB","","","Partial, 29%","No","OneDrive"
"OwnDrive (ownCloud)","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","?","","","","","OwnDrive","","","Yes","Yes","","","","1 GB","","","","","No","OwnDrive"
"SpiderOak","Yes","Yes","Yes","No, the android client is only capable of accessing spideroak cloud data","Yes, HTML5 client in Q4 2012, Android version from Amazon store for Blackberry 10","Yes","Yes","Yes","?","Yes","Yes, Occasional offers for unlimited","Yes","Yes","SpiderOak","No","No","Yes","Yes","Yes","","","2 GB","No limit","Yes","Yes","","No","SpiderOak"
"Provider","Win.","Linux","Mac","Android","BlackBerry","iOS","Encrypted storage","Personal Encryption","Secure Key Management","Limited MB plan","Unlimited MB plan","$/MB plan","Unlimited BW","Provider","Cloud hosted Net Drive","P2P","Sync","Autodetect changes","Public file hosting","physical media restore","Server location","Free online storage (non-trial)","Maximum per-file size","External hard drive support","Hybrid Option","Green Hosting","ITAR Compliant","Provider"
"SugarSync","Yes","No","Yes","Yes","Yes","Yes","Yes","No","?","Yes","No","No","","SugarSync","","","Yes","Yes","Yes (SugarSync account needed for folders)","","","No","100 MB (web) No limit (client app)","","","","No","SugarSync"
"Syncplicity","Yes","No","Yes","","","","Yes","No","?","","","Yes","","Syncplicity","","","Yes","","Yes","","United States","2 GB","","","","","No","Syncplicity"
"Tarsnap","Using Cygwin","Yes","Yes","No","No","No","","Yes","?","No","No","Yes","","Tarsnap","No","No","","","","","","No","","","","No, Amazon AWS","No","Tarsnap"
"TeamDrive","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes","Yes, via self-hosting","No","Yes","TeamDrive","Yes","No","Yes","Yes","Yes","No","United States, Germany, Ireland, Hong Kong","2 GB","No limit","Yes","","No, Amazon AWS by default","No","TeamDrive"
"Tresorit","Yes","on roadmap","Yes","Yes","No","Yes","Yes","Yes","?","Yes","No","Yes","Yes","Tresorit","No","No","Yes","Yes","Yes","No","Europe","5 GB","0.5 GB (free), 2 GB (paid)","Yes","No","","No","Tresorit"
"Unitrends Vault2Cloud","Yes","Yes","Yes","","","","Yes","No","?","No","Yes","Yes","","Unitrends Vault2Cloud","Yes","No","Yes","","No","Yes","United States","No","","","","","No","Unitrends Vault2Cloud"
"UpdateStar Online Backup","Yes","No","No","","","","Yes","No","?","Yes","Yes","","","UpdateStar Online Backup","","","","","","","Europe","","","","","","No","UpdateStar Online Backup"
"Wuala","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","Yes","No","Yes","Yes","Wuala","Yes","No","Yes","Yes","Yes","","Europe, data distributed in encrypted chunks","No","100 GB","Yes","Yes: only w/LaCie NAS","Yes: 100%","No","Wuala"
"Yandex.Disk","Yes","Yes","Yes","Yes","","Yes","No","No","?","Yes","","","","Yandex.Disk","Yes","No","Yes","","Yes","","","10 GB","10 GB","","","","No","Yandex.Disk"
"Zetta.net","Yes","Yes","Yes","","","","Yes","No","?","Yes","No","Yes","Yes","Zetta.net","Yes","No","Yes","Yes","No","Yes","United States","No","No limit","Yes","Yes","","Yes","Zetta.net"
"Zmanda Cloud Backup","Yes","No","No","","","","Optional","Optional","?","","","Yes","","Zmanda Cloud Backup","Yes","","","","","Yes","United States, Europe, Singapore, Japan","","No limit","Yes","Yes","Partial, Amazon AWS or Google Cloud Storage","No","Zmanda Cloud Backup"
"Provider","Win.","Linux","Mac","Android","BlackBerry","iOS","Encrypted storage","Personal Encryption","Secure Key Management","Limited MB plan","Unlimited MB plan","$/MB plan","Unlimited BW","Provider","Cloud hosted Net Drive","P2P","Sync","Autodetect changes","Public file hosting","physical media restore","Server location","Free online storage (non-trial)","Maximum per-file size","External hard drive support","Hybrid Option","Green Hosting","ITAR Compliant","Provider"
