"Application","Category","IPv6 supported?","Zone ID supported?","Earliest version # with IPv6 support","Notes","Reference links"
"WeeChat","IRC client","Yes","","0.1.3","",""
"Wget","File transfer software","Yes","","1.9?","May default to IPv4 transfers: ""-6"" option used to override.",""
"Winamp","Multimedia player","Yes","","5.34","",""
"Windows Live Mail","e-mail client","Yes","","Initial","",""
"Windows Mail","e-mail client","Yes","","Initial","",""
"Windows Media Player","Multimedia player","Yes","","9.0?","",""
"Windows File and print sharing","SMB/CIFS client/server","Yes","","5.2 (Server 2003)","Windows XP 32-bit does not support IPv6 at the SMB/CIFS layer. The protocol is available for other applications (""ipv6 install"" pre-SP1; protocol install afterwards).",""
"World of Warcraft","Game/MMORPG","Yes","","patch 4.1.0","",""
"WWWOFFLE","Proxy server","Yes","No","2.6d","",""
"XChat","IRC client","Yes","","1.7.0","",""
"xinetd","Networking daemon","Yes","","1.89","Version 2.3.3 or newer recommended to avoid security issues.",""
"µTorrent","BitTorrent client","Yes","","1.8","",""
"Transmission","BitTorrent client","Yes","","1.5","No official Windows version.",""
"Cisco AnyConnect","VPN Client","Yes","Yes","2.0","No split tunneling allowed in IPv6.  ASA 8.4 software required for full IPv6 mode.",""
