"Name","Creator","Genre","Client sale method","Client purchase price","Monthly fee required","Monthly subscription available","Release date(s)","Last update"
"Age of Conan","Funcom","Sword & Sorcery","Download","Free","No","Subscriptions available","May 20, 2008","January 18, 2011 (18.1.11)"
"Aion: The Tower of Eternity","NCSoft","Fantasy","Retail sale or Download","Free","No","No","September 22, 2009","June 18, 2014 (4.5.0.18)"
"Anarchy Online","Funcom","Science fiction","Download","Free","No","€17.19/month full access","June 7, 2001","July 19, 2012 (18.5.1)"
"Asheron's Call","Turbine","Fantasy","Download","US$9.99","Yes","US$12.95/month","October 31, 1999","July 13, 2010"
"Champions Online","Cryptic Studios","Superhero comic book genre","Retail sale or Download","Free as of January 2011
(Originally $49.99)","No
(Originally required.)","Gold Subscriptions available
Adds additional archetypes and character creation options.","September 1, 2009 
September 10, 2009","February 20, 2014"
"City of Heroes","NCSoft / Paragon Studios","Superhero comic book","Shut Down 11/30/2012","","","","April 28, 2004","April 15, 2011 (Last update before closing)"
"Darkfall","Aventurine SA","Fantasy","Retail sale or Download","€29.95","Yes","€11.77","February 26, 2009","Unknown"
"DarkSpace","PaleStar","Science fiction","Download","Free","No","No","2001","April 3, 2011 (1.660)"
"Dark Age of Camelot","Mythic Entertainment","Fantasy","Download","Free","Yes","US$14.95/month","October 10, 2001","August 28, 2014 (1.115c)"
"Dofus","Ankama Studio","Fantasy","Download","Free","No","US$7/month full access","August 23, 2004 
September 1, 2005","August 10, 2010 (2.0)"
"Dragonica","Barunson Interactive","Manga Fantasy Action","Download","Free","No","No","June 10, 2009","March 29, 2011 (Verdourus Forest 0.914.93)"
"Dragon Oath","Changyou.com","Fantasy","Download","Free","No","No","2007","2010"
"Dungeons & Dragons Online: Eberron Unlimited","Turbine","Fantasy","Download","Free","No","US$14.95 per month.","February 28, 2006","December 11, 2013 (Update 20.1)"
"Elder Scrolls Online","ZeniMax Online Studios","Medieval Fantasy","Download","$14.99 per month","Yes","$14.99 per month","April 4, 2014","May 2, 2013"
"Eternal Lands","Eternal Lands","Medieval Fantasy","Download","Free","No","No","February 13, 2003","February 14, 2012 1.9.3"
"EVE Online","CCP Games","Science Fiction, Space simulation","Download","Free - US$19.99","Yes","US$14.95 / Can be paid with ingame currency","May 6, 2003 
May 23, 2003","November 3, 2014 (Phoebe)"
"EverQuest","Verant Interactive","Fantasy","Download","Free","No","US$14.99/month","March 16, 1999","July 28, 2010"
"EverQuest II","Sony Online Entertainment","Fantasy","Retail sale or Download","Free","No","US$14.99","November 8, 2004","August 4, 2010"
"Final Fantasy XI","Square Enix","Fantasy","Retail sale","US$9.99 (PC)
US$14.99 (Xbox 360)
€19.99 (PC/Xbox 360)","Yes","US$12.95 + $1.00 per extra character
€12.95 + €1 per extra character","May 16, 2002","April 29, 2013"
"Game of Thrones Ascent","Disruptor Beam","Fantasy","Download","Free","No","No","February 10, 2013","November 1, 2014"
"Grand Fantasia","X-Legend Entertainment Corp.","Fantasy Anime/Steam-punk","Download","Free","No","No","November 6, 2009
February 26, 2010","December 13, 2010"
"Guild Wars","ArenaNet","Fantasy","Retail sale or Download","US$39.99 (includes Factions and Nightfall campaigns)
€34.99 (includes Factions and Nightfall campaigns)","No","No","April 28, 2005","August 25, 2011"
"Guild Wars 2","ArenaNet","Fantasy","Retail sale or Download","US$59.99 Digital Editions, US$79.99 Digital Deluxe Edition","No","No","August 28, 2012","November 26, 2013"
"Hero Online","Netgame","History","Download","Free","No","No","2006","Unknown"
"Knight Online","MGame Corporation and Noah System","Fantasy","Download","Free","No","No","December 6, 2004","August 5, 2010 (1840)"
"Lineage","NCsoft","Fantasy","Download","US$9.99","Yes","US$15/month","September 3, 1998","August 11, 2010 (Season 3, Episode 1)"
"Lineage II","NCsoft","Fantasy","Download","Free","No","Non-free","October 1, 2003 
April 27, 2004","July 25, 2012"
"The Lord of the Rings Online: Rise of Isengard","Turbine","Fantasy","Retail sale or download","Free","No","US$14.95/month","April 24, 2007","October 4, 2011"
"MapleStory","Wizet","Fantasy","Download","Free","No","No","May 2002 
November 2003 
December 2004 
July 4, 2005 
May 11, 2005 (Global)
June 23, 2005 (SEA)","July 19, 2010 (0.88) 
July 15, 2010 (0.63)"
"Minions of Mirth","Prairie Games","Fantasy","Download","Free - US$29.95","No","No","December 2005","Unknown"
"Omerta (video game)","Omerta Game Limited","Fantasy","Retail sale or Download","Free","No","No","September 2003","February 2013 ( Version 4.0 )"
"Perfect World","Beijing Perfect World","Fantasy","Retail sale or Download","Free","No","No","July 2005 
December 2006 
March 2007 
TBA 2007","March 2, 2011 (Patch version 484)"
"Pirates of the Burning Sea","Flying Lab Software","Fantasy","Retail sale or download","US$19.99 (free download)","Yes","US$12-month subscription: US$143($12/month) or 1-month subscription: US$14.99 
Part of Station Access","January 22, 2008","June 23, 2009, V. 1.15.52"
"Ragnarok Online","GRAVITY Co., Ltd.","Fantasy, Steampunk","Download","Free","No","US$10/month","August 31, 2002","December 4, 2009 (Episode 13.2)"
"Regnum Online","NGD Studios","Medieval fantasy","Download","Free","No","Lowest Ximerin (points) possible 5 USD; highest ximerin possible 60 USD","April 24, 2007","April 29, 2010"
"Pirates of the Burning Sea","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Ragnarok Online","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Rift (video game)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rise: The Vieneo Province","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"RuneScape","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial","Partial","Yes"
"Ryzom","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes"
"Star Trek Online","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","Yes","No","No","Yes"
"Star Wars Galaxies","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Star Wars The Old Republic","Yes","Yes","Yes","No (soon)","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Tabula Rasa","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Tibia","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Ultima Online","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes"
"Vendetta Online","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Warhammer Online: Age of Reckoning","Yes","No","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"WonderKing Online","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"World of Warcraft","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
