"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory","API support","API support"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)","DirectX","OpenGL"
"STG-2000","September 1995","NV1","?","PCI","2
4","12","75","1:1:1","12","12","12","0","0.6","EDO
VRAM","64","n/a","n/a"
"Riva128","April 1997","NV3","350","PCI","4","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva128ZX","February 23, 1998","NV3","350","AGP 2x, PCI","8","100","100","1:1:1","100","100","100","0","1.6","SDR","128","5.0","1.0"
"Riva TNT","March 23, 1998","NV4","350","AGP 2x, PCI","8
16","90","110","2:2:2","180","180","180","0","1.76","SDR","128","5.0","1.2"
"Vanta","March 22, 1999","NV6","250","AGP 4x","16","100","125","2:2:2","200","200","200","0","1","SDR","64","6.0","1.2"
"Vanta LT","March, 2000","NV6","250","AGP 4x","8
16","80","100","2:2:2","160","160","160","0","0.8","SDR","64","6.0","1.2"
"Riva TNT2 M64","October, 1999","NV6","250","AGP 4x, PCI","8, 16
32","125","150","2:2:2","250","250","250","0","1.2","SDR","64","6.0","1.2"
"Riva TNT2","March 15, 1999","NV5","250","AGP 4x, PCI","16
32","125","150","2:2:2","250","250","250","0","2.4","SDR","128","6.0","1.2"
"Riva TNT2 Pro","October 12, 1999","NV5","220","AGP 4x","32","143","166","2:2:2","286","286","286","0","2.656","SDR","128","6.0","1.2"
"Riva TNT2 Ultra","March 15, 1999","NV5","250","AGP 4x","16
32","150","183","2:2:2","300","300","300","0","2.928","SDR","128","6.0","1.2"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce256","October 11, 1999","NV10","AGP 4x
PCI","32
64","120","166","4:4:4","480","480","480","0","2.656","SDR","128"
"GeForce256 DDR","February 1, 2000","NV10","AGP 4x
PCI","32
64","120","300","4:4:4","480","480","480","0","4.8","DDR","128"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce2 MX IGP + nForce 220/420","June 4, 2001","NV1A","FSB","Up to 32 system RAM","175","266","2:4:2","350","350","700","0","2.128
4.256","DDR","64
128"
"GeForce2 MX200","March 3, 2001","NV11","AGP 4x
PCI","32
64","175","166","2:4:2","350","350","700","0","1.328","SDR","64"
"GeForce2 MX","June 28, 2000","NV11","AGP 4x
PCI","32
64","175","166","2:4:2","350","350","700","0","2.656","SDR","128"
"GeForce2 MX400","March 3, 2001","NV11","AGP 4x
PCI","32
64","200","166 (SDR)
332 (DDR)","2:4:2","400","400","800","0","2.656","SDR
DDR","128 (SDR)
64 (DDR)"
"GeForce2 GTS","April 26, 2000","NV15","AGP 4x
PCI","32
64","200","332","4:8:4","800","800","1600","0","5.312","DDR","128"
"GeForce2 Pro","December 5, 2000","NV15","AGP 4x
PCI","32
64","200","400","4:8:4","800","800","1600","0","6.4","DDR","128"
"GeForce2 Ti","October 1, 2001","NV15","AGP 4x
PCI","32
64","250","400","4:8:4","1000","1000","2000","0","6.4","DDR","128"
"GeForce2 Ultra","August 14, 2000","NV16","AGP 4x
PCI","64","250","460","4:8:4","1000","1000","2000","0","7.36","DDR","128"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce3 Ti200","October 1, 2001","NV20","AGP 4x
PCI","64
128","175","400","4:1:8:4","700","700","1400","42.75","6.4","DDR","128"
"GeForce3","February 27, 2001","NV20","AGP 4x
PCI","64","200","460","4:1:8:4","800","800","1600","50","7.36","DDR","128"
"GeForce FX 5900","May 2003","NV35","130","AGP 8X","128","400","850","4:3:8:4","1600","1600","3200","300","27.2","DDR","256"
"GeForce FX 5900 Ultra","May 12, 2003","NV35","130","AGP 8X","128
256","450","850","4:3:8:4","1800","1800","3600","337.5","27.2","DDR","256"
"GeForce PCX 5900","March 17, 2004","NV35","130","PCI-E x16","128
256","450","850","4:3:8:4","1800","1800","3600","337.5","27.2","DDR","256"
"GeForce FX 5950 Ultra","October 23, 2003","NV38","130","AGP 8X","256","475","950","4:3:8:4","1900","1900","3800","356.25","30.4","DDR","256"
"GeForce PCX 5950","February 17, 2004","NV38","130","PCI-E x16","256","475","950","4:3:8:4","1900","1900","3800","356.25","30.4","GDDR3","256"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce 6100 + nForce 410/430","October 20, 2005","MCP51","90","HyperTransport","Up to 256 system RAM","425","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","850","425","850","106.25","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"GeForce 6150 SE + nForce 430","June 2006","MCP61","90","HyperTransport","Up to 256 system RAM","425","400
800","2:1:2:1","850","425","850","106.25","3.2
16.0","DDR2","64
128"
"GeForce 6150 LE + nForce 430","June 2006","MCP61","90","HyperTransport","Up to 256 system RAM","425","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","850","425","850","106.25","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"GeForce 6150 + nForce 430","October 20, 2005","MCP51","90","HyperTransport","Up to 256 system RAM","475","200-400 (DDR)
400-1066 (DDR2)","2:1:2:1","950","475","950","118.75","1.6-6.4 (DDR)
3.2-17.056 (DDR2)","DDR
DDR2","64
128"
"GeForce 6200 LE","2005","NV44","110","AGP 8x
PCI-E x16","128
256","350","532","2:1:2:2","700","700","700","87.5","4.256","DDR","64"
"GeForce 6200A","April 4, 2005","NV44A","110","AGP 8x","128","350","500","4:2:4:4","1400","1400","1400","175","4","DDR","64"
"GeForce 6200","October 12, 2004 (PCI-E)
January 17, 2005 (AGP)","NV43","110","AGP 8x
PCI
PCI-E x16","128
256","300","550","4:3:4:2","1200","600","1200","225","8.8","DDR2","128"
"GeForce 6200 TurboCache","December 15, 2004","NV44","110","PCI-E x16","128
256 onboard + 16/32/64/128 System RAM","350","700","4:3:4:2","1400","700","1400","262.5","5.6","DDR","64"
"GeForce 6500","October 1, 2005","NV44","110","PCI-E x16","128
256","400","666","4:3:4:2","1600","800","1600","300","5.328","DDR","128"
"GeForce 6600 LE","2005","NV43","110","AGP 8x
PCI-E x16","128
256","300","400","4:3:4:4","1200","1200","1200","225","6.4","DDR","128"
"GeForce 6600","August 12, 2004","NV43","110","AGP 8x
PCI-E x16","128
256","300","550","8:3:8:4","2400","1200","2400","225","8.8","DDR","128"
"GeForce 6600 GT","August 12, 2004 (PCI-E)
November 14, 2004 (AGP)","NV43","110","AGP 8x
PCI-E x16","128
256","500","950 (AGP)
1000 (PCI-E)","8:3:8:4","4000","2000","4000","375","14.4 (AGP)
16 (PCI-E)","GDDR3","128"
"GeForce 6800 LE","July 22, 2004 (AGP)
January 16, 2005 (PCI-E)","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","128","320 (AGP)
325 (PCI-E)","700","8:4:8:8","2560 (AGP)
2600 (PCI-E)","2560 (AGP)
2600 (PCI-E)","2560 (AGP)
2600 (PCI-E)","320 (AGP)
325 (PCI-E)","22.4","DDR","256"
"GeForce 6800 XT","September 30, 2005","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","256","325","700","8:4:8:8","2600","2600","2600","325","22.4","DDR","256"
"GeForce 6800","April 14, 2004 (AGP)
November 8, 2004 (PCI-E)","NV40 (AGP)
NV41 (PCI-E)","130","AGP 8x
PCI-E x16","128
256","325","700","12:5:12:12","3900","3900","3900","406.25","22.4","DDR","256"
"GeForce 6800 GTO","April 14, 2004","NV45","130","PCI-E x16","256","350","900","12:5:12:12","4200","4200","4200","437.5","28.8","GDDR3","256"
"GeForce 6800 GS","November 7, 2005 (PCI-E)
December 8, 2005 (AGP)","NV40 (AGP)
NV42 (PCI-E)","130","PCI-E x16","128
256","425","1000","12:5:12:12","5100","5100","5100","531.25","32","GDDR3","256"
"GeForce 6800 GT","May 4, 2004 (AGP)
June 28, 2004 (PCI-E)","NV40 (AGP)
NV45 (PCI-E)","130","AGP 8x
PCI-E x16","128
256","350","1000","16:6:16:16","5600","5600","5600","525","32","GDDR3","256"
"GeForce 6800 Ultra","May 4, 2004 (AGP)
June 28, 2004 (PCI-E)
March 14, 2005 (512 MB)","NV40 (AGP)
NV45 (PCI-E)","130","AGP 8x
PCI-E x16","256
512","400","1050 (512 MB)
1100 (256 MB)","16:6:16:16","6400","6400","6400","600","33.6 (512 MB)
35.2 (256 MB)","GDDR3","256"
"GeForce 6800 Ultra Extreme","May 4, 2004","NV40","130","AGP 8x","256","450","1100","16:6:16:16","7200","7200","7200","675","35.2","GDDR3","256"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"Model","Features","Features","Features","Features","Features","Features"
"Model","OpenEXR HDR","Scalable Link Interface (SLI)","TurboCache","PureVideo WMV9 Decoding","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6100","No","No","No","Limited","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6150 SE","No","No","Driver-Side Only","Limited","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6150","No","No","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6150 LE","No","No","Driver-Side Only","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6200","No","No","Yes (PCI-E only)","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6500","No","Yes","Yes","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6600 LE","Yes","Yes (No SLI Connector)","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6600","Yes","Yes (SLI Connector or PCI-E Interface)","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6600 DDR2","Yes","Yes (SLI Connector or PCI-E Interface)","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6600 GT","Yes","Yes","No","Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 LE","Yes","No","No","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 XT","Yes","Yes (PCI-E only)","No","Yes (NV42 only)","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800","Yes","Yes (PCI-E only)","No","Yes (NV41, NV42 only)","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 GTO","Yes","Yes","No","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 GS","Yes","Yes (PCI-E only)","No","Yes (NV42 only)","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 GT","Yes","Yes (PCI-E only)","No","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"GeForce 6800 Ultra","Yes","Yes (PCI-E only)","No","No","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","Fillrate","Fillrate","Fillrate","Fillrate","Memory","Memory","Memory"
"Model","Launch","Code name","Fab (nm)","Bus interface","Memory (MB)","Core clock (MHz)","Memory clock (MHz)","Core config","MOperations/s","MPixels/s","MTextels/s","MVertices/s","Bandwidth (GB/s)","Bus type","Bus width (bit)"
"GeForce 7025 + nForce 630a","July 2007","MCP68S","110","HyperTransport","Up to 256 system RAM","425","533
800","2:1:2:2","850","850","850","106.25","8.528
12.8","DDR2","128"
"GeForce 7050V + nForce 630e","July 2007","MCP67QV","110","HyperTransport","Up to 256 system RAM","425","533
800","2:1:2:2","850","850","850","106.25","8.528
12.8","DDR2","128"
"GeForce 7050 + nForce 610i/630i","July 2007","MCP73","90","HyperTransport/FSB","Up to 256 system RAM","500","667","2:1:2:2","1000","1000","1000","125","5.336","DDR2","64"
"GeForce 7100 + nForce 630i","July 2007","MCP76","90","FSB","Up to 256 system RAM","600","800","2:1:2:2","1200","1200","1200","150","6.4","DDR2","64"
"GeForce 7150 + nForce 630i","July 2007","MCP76","90","FSB","Up to 256 system RAM","630","800","2:1:2:2","1260","1260","1260","157.5","6.4","DDR2","64"
"GeForce 7100 GS","August 8, 2006","NV44","110","PCI-E x16","128
256","350","600","4:3:4:2","1400","700","1400","262.5","4.8","DDR2","64"
"GeForce 7200 GS","January 18, 2006","G72","90","AGP 8x
PCI-E x16","128
256","450","800","2:2:4:2","1800","900","1800","337.5","6.4","DDR2","64"
"GeForce 7300 SE","March 22, 2006","G72","90","PCI-E x16","128","350","666","4:3:4:2","1800","900","1800","337.5","5.328","DDR2","64"
"GeForce 7300 LE","March 22, 2006","G72","90","PCI-E x16","128","350","666","8:5:8:4","1800","900","1800","337.5","5.328","DDR2","64"
