"Name","Programming language, toolkit","Operating system","License","Integration","Languages","Network protocols","Current version","Last release date","Server functionality","Visualization"
"Subversive","Java","Linux, Mac OS X, Microsoft Windows","EPL","Eclipse","English","http, https, svn, svn+ssh, file","0.7.9.I20110819-1900 (Indigo)","August 19, 2011;
3 years ago","?","?"
"sventon","Java","Any with a 1.5 or higher JRE","GPLv3","web-based","en, sv","http, https, svn, svn+ssh, file","2.5.1","September 19, 2011;
3 years ago","?","?"
"SVN for Dreamweaver","C++, JavaScript","Microsoft Windows, Mac OS X","proprietary, trial with commercial upgrade","Adobe Dreamweaver Extensions","English","http, https, svn, svn+ssh, file","3.0.1","February 15, 2009;
5 years ago","?","?"
"SVN Notifier","C#","Microsoft Windows","GPL","GUI, standalone. It needs TortoiseSVN installed.","English","http, https, svn, svn+ssh, file","1.9.2","December 30, 2011;
2 years ago","?","?"
"SVNBreeze","C#","Microsoft Windows","Paid license needed (free trial available)","GUI, standalone","en","http, https, svn, file","1.0.13.1023","October 23, 2013;
12 months ago","?","Diff, Merge Files, Log, Branch, Merge Branches, File Properties"
"SVNCOM","ActiveX control, COM object","Microsoft Windows","GPL","IIS, Windows Scripting Host","English","http, https, svn, svn+ssh, file, com","1.7.2","December 21, 2012;
22 months ago","?","?"
"svnX","","Mac OS X","LGPL","GUI","English","http, https, svn, svn+ssh, file","1.3.4","April 9, 2012;
2 years ago","?","?"
"Syncro SVN Client","Java","Linux, Unix, Mac OS X, Microsoft Windows (Any with a 1.5 or higher JRE)","Paid ""Named-User"" license needed (free trial available)","GUI, standalone","en, de, fr, jp, it, nl","http, https, svn, svn+ssh, file","9.0","June 25, 2013;
16 months ago","?","Revision graph, diff"
"TamTam SVN SCC","","Microsoft Windows","proprietary, free (nagware) and commercial","Microsoft Visual Studio .NET","English","","1.2.25","February 1, 2009;
5 years ago","?","?"
"TkCVS","Tcl, Tk","Linux, Unix, Mac OS X, Microsoft Windows","GPL","","English","","8.2.3","November 27, 2011;
2 years ago","?","?"
"TortoiseSVN","C++, MFC","Microsoft Windows (32/64-bit)","GPL","Windows Shell (Explorer)","41 languages (including en)","http, https, svn, svn+ssh, file, svn+XXX","1.8.8","August 11, 2014;
3 months ago","Yes","Diff, merge, Revision Tree"
"Trac","Python","Linux, Unix, Mac OS X, Microsoft Windows","Modified BSD","web-based","[31 languages]","file","1.01","February 1, 2013;
21 months ago","Yes","Log"
"Unified SCC","","Microsoft Windows (32/64-bit)","proprietary; Freeware version is available for members of the active open source project","Any MSSCCI-compatible program (Microsoft Visual Studio and other programs)","English","","1.0.6","?","?","?"
"Vercue  (formerly SVN-Monitor )","C#","Microsoft Windows","proprietary, freeware (After a trial of 30 days, you will be able to use the Free Edition or buy one of the other licenses.)","GUI, standalone. It needs TortoiseSVN installed.","English","http, https, svn, svn+ssh, file","2.6.3.392","June 21, 2013;
16 months ago","?","?"
"Versions","Objective-C, Cocoa","Mac OS X","proprietary","GUI, standalone","English","http, https, svn, svn+ssh, file","1.3.0 build 1053","December 18, 2013;
10 months ago","?","?"
"ViewVC","Python","http, https","""two-clause Berkeley-style""","web-based","English","http, https, svn, svn+ssh, file","1.1.21","September 13, 2013;
13 months ago","?","Diff, annotation, blame, revision graph"
"VisualSVN","","Microsoft Windows (32/64-bit)","proprietary","Microsoft Visual Studio (all editions except Express)","English","http, https, svn, svn+ssh, file","4.0.9","August 13, 2014;
3 months ago","Yes","?"
"WebSVN","PHP","Linux, Unix, Mac OS X, Microsoft Windows","GPL","web-based","> 25 languages","","2.3.3","June 27, 2011;
3 years ago","?","?"
"Win32svn: Developers Site sourceforge page","Visual C++ 6.0","Microsoft Windows","Apache License V2.0","Windows Command Line","All from the official SVN release
(en, de, es, fr, it,ja, ko, nb, pl, pt_BR, sv, zh_CN, zh_TW)","http, https, svn, svn+ssh, file","1.8.9","May 20, 2014;
5 months ago","Yes 
svnserve or with Apache httpd 2.2.x or 2.4.x 
(python, perl, ruby and java bindings included but not tested)","None (Command line only)"
"Xcode","Objective-C, Cocoa","Mac OS X","Proprietary, free on Mac App Store","Xcode IDE","English","","5.0.1 (4H127)","October 22, 2013;
12 months ago","?","?"
"ZigVersion      (Out of business)","Objective-C, Cocoa","Mac OS X","Freeware with commercial upgrade","GUI, standalone","English","http, https, svn, file","1.2.3","February 13, 2008;
6 years ago","?","?"
"GTalkabout","Visual C++ 6.0","Microsoft Windows","Freeware","GUI, XMPP","English","http, https, svn, file","1.0.4","October 15, 2013;
12 months ago","No","Diff, merge, Repository Navigatebar"
"Client name","Free","Network protocols","Diff","Merge","Browse remote repository"
"Cornerstone","No","file, http, https, svn and svn+ssh","Yes","Yes","Yes"
"DiffPlug","Yes","file, http, https, svn","Yes","Yes","Yes"
"eSvn","Yes","http, svn","?","?","?"
"iVersion","No","svn, http, https","?","?","?"
"kdesvn","Yes","file, http, https, (k)svn, (k)svn+file, (k)svn+http, (k)svn+https, (k)svn+ssh","Yes","Yes","Yes"
"QSvn","Yes","","style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes||?||?","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"RapidSVN","Yes","","internal||internal||style=""background:#9F9;vertical-align:middle;text-align:center;"" class=""table-yes""|Yes","/!\ This cell is not defined /!\","/!\ This cell is not defined /!\"
"sdSVN","Yes","http, https","?","?","?"
"SmartGit","Yes","http, https, svn, svn+ssh","Yes","Yes","No"
"SmartSVN Professional","No","http, https, svn, svn+ssh","Yes","Yes","Yes"
"SmartSVN Foundation","No","http, https, svn, svn+ssh","Yes","Yes","Yes"
"Subcommander","Yes","http, https, svn, file","?","?","?"
"SVN-Monitor","Yes","http, https, svn, svn+ssh, file","?","?","?"
"SVNBreeze","No","http, https, svn, svn, file","Yes","Yes","Yes"
"Syncro SVN","No","http, https, svn, svn+ssh, file","Yes","Yes","Yes"
"svnup","Yes","http, https, svn","No","No","No"
"Versions","No","http, https, svn, svn+ssh, file","Yes","?","Yes"
"ZigVersion","Yes","http, https, svn, file","?","?","?"
"GTalkabout","Yes","http, https, svn, file","Yes","Yes","Yes"
