"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"COBOL","Application, business","Yes","Yes","","Yes","","","","","ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014"
"Cobra","Application, business, general, Web","Yes","Yes","Yes","","Yes","Yes","","","No"
"ColdFusion (CFML)","Web","","Yes","","Yes","","","","","No"
"Common Lisp","General","Yes","Yes","Yes","Yes","","Yes","Yes","extensible syntax, syntatic macros, multiple dispatch","1994, ANSI"
"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"COMAL 80","Education","Yes","","","Yes","","","","","No"
"Crystal 1.0.0","Education","Yes","","Yes","Yes","","","","","No"
"Cython","Application, general, numerical computing","Yes","Yes","Yes","","","Yes","","aspect-oriented","No"
"D","Application, system","Yes","Yes","Yes","","Yes","","","generative, concurrent","No"
"Dart","Application, Web","Yes","Yes","","","","","","structured","Ecma-408 standard"
"Dylan","Application","","Yes","Yes","","","","","","No"
"Eiffel","Application","Yes","Yes","","","Yes","","","","2005, ECMA, ISO"
"Elixir","Application, distributed","","","Yes","","","","","concurrent, distributed","No"
"Erlang","Application, distributed, telecom","","","Yes","","","","","concurrent, distributed","No"
"Euphoria","Application","","","","Yes","","Yes","","","No"
"Factor","","","","","","","","","stack-oriented","No"
"Falcon","General, Application","","Yes","Yes","Yes","","","","prototype OOP, message oriented, tabular programming","No"
"FP","","","","Yes","","","","","","No"
"F#","Application","Yes","Yes","Yes","","Yes","","","","No"
"Forth","General","Yes","","can be viewed as","","","","","stack-oriented","1994, ANSI"
"Fortran","Application, numerical computing","Yes","Yes","","Yes","Yes","","","","1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008)"
"FreeBASIC","Application, numerical computing","Yes","Yes","","Yes","Yes","","","","No"
"G2","Application, inference, expert system","Yes","Yes","","","","","Yes","common graphical development and runtime environment","No"
"Gambas","Application","Yes","Yes","","","","","Yes","","No"
"Game Maker Language","Application, games","Yes","Yes","","","","","Yes","","No"
"GLBasic","Application, games","Yes","Yes","","Yes","","","","simple object-oriented","No"
"Go","Application, system, Web, server-side","Yes","","","","","","","concurrent","No"
"Gosu","Application, general, scripting, Web","Yes","Yes","","","Yes","Yes","","","No"
"GraphTalk","Application","","Yes","","","","","","logic","No"
"Groovy","Application, general, scripting, Web","Yes","Yes","Yes","","","","","aspect-oriented","In progress, JCP"
"Harbour","Application, business, data processing, general, Web","Yes","Yes","Yes","Yes","Yes","Yes","","declarative","No"
"Haskell","Application","","","Yes","","Yes","","","lazy evaluation","2010, Haskell 2010"
"Haxe","Application, general, Web","Yes","Yes","Yes","","Yes","Yes","","","No"
"HyperNext","Application, education","","","","Yes","","","Yes","weakly typed","No"
"HyperTalk","Application, RAD, General","","Yes","","","","","Yes","weakly typed","Unknown"
"Io","Application, host-driven scripting","Yes","Yes","","","","","","","No"
"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"ISLISP","General","Yes","Yes","Yes","","Yes","","","","1997, ISO"
"J","Data processing","","","","","","","","array-oriented, function-level, tacit","No"
"JADE","Application, distributed","Yes","Yes","","","","","","","No"
"Java","Application, business, client-side, general, server-side, Web","Yes","Yes","","","Yes","Yes","","concurrent","De facto standard via Java Language Specification"
"Julia","General and made for technical computing","Yes","Yes","Yes","Yes","Yes","Yes","","multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")","No"
"JavaScript","Client-side, Server-side, Web","Yes","Yes","Yes","","","Yes","","prototype-based","1997, ECMA"
"Joy","Research","","","Yes","","","","","stack-oriented","No"
"K","Data processing, business","","","","","","","","array-oriented, tacit","Unknown"
"Kotlin","Application, mobile development, server-sider, client-side, Web (JavaScript, HTML, CSS)","Yes","Yes","Yes","","Yes","Yes","","","No"
"LabVIEW (G)","Application, industrial instrumentation-automation","","","","","","","","dataflow, visual","No"
"Lisp","General","","","Yes","","","","","","Unknown"
"Livecode","Application, RAD, General","","Yes","","","","","Yes","weakly typed","No"
"Logtalk","Artificial intelligence, application","","Yes","","","","Yes","Yes","logic","No"
"Lua","Application, embedded scripting","Yes","Yes","Yes","Yes","","Yes","","aspect-oriented","No"
"Maple","Symbolic computation, numerical computing","Yes","Yes","Yes","Yes","","","","distributed","No"
"Mathematica","Symbolic language","Yes","Yes","Yes","Yes","","","","logic, distributed","No"
"MATLAB","Highly domain-specific, numerical computing","Yes","Yes","","Yes","","","","","No"
"Modula-2","Application, system","Yes","","","","Yes","","","","1996, ISO"
"Modula-3","Application","Yes","Yes","","","Yes","","","","No"
"Neu","Meta languages for interop w/ C++; interpreted or LLVM JIT compiled; language design framework and easy-to-use parser generator","Yes","Yes","Yes","Yes","","","","concurrent","No"
"Oberon","Application, system","Yes","Yes","","","","","","","No"
"Object Pascal (Delphi)","Application, general, mobile App, Web","Yes","Yes","","Yes","Yes","Yes","Yes","structured","No"
"Objective-C","Application, general","Yes","Yes","","","","Yes","","concurrent","No"
"Occam","General","Yes","","","Yes","","","","concurrent, process-oriented","No"
"Opa","Web applications","Yes","","Yes","","Yes","","","distributed","No"
"Oxygene","Application","Yes","Yes","","","Yes","","","","No"
"Oz","Application, distribution, education","Yes","Yes","Yes","","","","","concurrent, logic","No"
"Pascal","Application, education","Yes","","","Yes","","","","","1983, ISO"
"Pawn","Embedded, host-driven scripting","Yes","","","","","","","","No"
"Perl","Application, scripting, text processing, Web","Yes","Yes","Yes","Yes","Yes","Yes","","","No"
"PHP","Server-side, Web Application, Web","Yes","Yes","","Yes","","Yes","","","No"
"PL/I","Application","Yes","Yes","","Yes","","","","","1969"
"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"Plus","Application, system development","Yes","","","Yes","","","","","No"
"Prolog","Application, artificial intelligence","","","","","","","","logic","1995, ISO"
"PureBasic","Application","","","","Yes","","","","","No"
"Python","Application, general, Web, scripting, AI, scientific computing","Yes","Yes","Yes","","","Yes","","aspect-oriented","No"
"Racket","Education, general, scripting","","Yes","Yes","Yes","","Yes","","modular, logic, meta","No"
"REALbasic","Application","","","","Yes","","","","","Unknown"
"REBOL","Distributed","Yes","Yes","Yes","","","","","dialected","No"
"RPG","Application, system","Yes","","","Yes","","","","","No"
"Ruby","Application, scripting, Web","Yes","Yes","Yes","","","Yes","","aspect-oriented","2011(JIS X 3017), 2012(ISO/IEC 30170)"
"Rust","Application, system","Yes","Yes","Yes","","Yes","Yes","","concurrent","No"
"S","Application, statistics","Yes","Yes","Yes","Yes","","","","","No"
"S-Lang","Application, numerical, scripting","Yes","","","Yes","","","","","No"
"Scala","Application, distributed, Web","Yes","Yes","Yes","","Yes","Yes","Yes","","De facto standard via Scala Language Specification (SLS)"
"Scheme","Education, general","","","Yes","","","","","","1998, RRS"
"Seed7","Application, general, scripting, Web","Yes","Yes","","","Yes","Yes","","multi-paradigm, extensible, structured","No"
"Simula","Education, general","Yes","Yes","","","","","Yes","discrete event simulation, multi-threaded (quasi-parallel) program execution","1968"
"Small Basic","Application, education, games","Yes","","","","","","Yes","component-oriented","No"
"Smalltalk","Application, education","","Yes","","","","Yes","Yes","concurrent, declarative","1998, ANSI"
"SNOBOL","Text processing","","","","","","","","","Unknown"
"Standard ML","Application","Yes","","Yes","","Yes","","","","1997, SML '97"
"Swift","Application, general","Yes","Yes","","","Yes","Yes","","concurrent","No"
"Tcl","Application, scripting, Web","Yes","","","Yes","","Yes","Yes","","No"
"Visual Basic","Application, RAD, education, business, general, (Includes VBA), office automation","Yes","Yes","","","Yes","","Yes","component-oriented","No"
"Visual Basic .NET","Application, RAD, education, Web, business, general","Yes","Yes","","","Yes","Yes","Yes","","No"
"Visual FoxPro","Application","","Yes","","","","","","data-centric, logic","No"
"Visual Prolog","Application","Yes","Yes","Yes","","","","Yes","declarative, logic","No"
"Windows PowerShell","Administration","Yes","Yes","Yes","","","Yes","","pipeline","No"
"XL","","Yes","Yes","","","","","","concept programming","No"
"Xojo","Application, RAD, General, Web","Yes","Yes","","Yes","","Yes","Yes","","No"
"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"Language","Type safety","Type expression","Type compatibility and equivalence","Type checking"
"ActionScript 3.0","safe","implicit with optional explicit typing","","static"
"Ada","safe","explicit","nominal","static"
"Aldor","unsafe","implicit","","static"
"ALGOL 58","safe","explicit","","static"
"ALGOL 60","safe","explicit","","static"
"ALGOL 68","safe","explicit","structural","static & tagged union"
"APL","safe","","","dynamic"
"AutoHotkey","typeless","n/a","n/a","n/a"
"Ateji PX","safe","explicit","nominal","static"
"BASIC","safe","explicit","nominal","static"
"BLISS","typeless","n/a","n/a","n/a"
"BeanShell","safe","","nominal","dynamic"
"Boo","safe","implicit with optional explicit typing","","static with optional dynamic typing"
"Bro","safe","implicit with optional explicit typing","nominal","static"
"C","unsafe","explicit","nominal","static"
"C++ (ISO/IEC 14882)","unsafe","explicit","nominal","static"
"C#","unsafe","implicit with optional explicit typing","nominal","static"
"Clean","safe","implicit","","static"
"Clojure","safe","implicit with optional explicit typing","","dynamic"
"COBOL","safe","explicit","nominal","static"
"ColdFusion (CFML)","safe","implicit","","dynamic"
"Common Lisp","safe","implicit with optional explicit typing","","dynamic"
"Curl","safe","","nominal",""
"Cython","safe","implicit with optional explicit typing","nominal (extension types) and structural (Python)","dynamic with optional static typing"
"D","unsafe","explicit","nominal","static"
"Dylan","safe","","","dynamic"
"Dynace","safe","implicit","","dynamic"
"Eiffel","safe","","nominal","static"
"Erlang","safe","implicit","","dynamic"
"Euphoria","safe","explicit, implicit with objects","nominal","static, dynamic with objects"
"F#","safe","implicit","nominal","static"
"Falcon","safe","implicit","structural","dynamic"
"Forth","typeless","n/a","n/a","n/a"
"Fortran","safe","explicit","nominal","static"
"Gambas","safe","explicit","nominal",""
"GLBasic","safe","explicit. Non-explicit declarations available through project options","nominal","static"
"Go","safe","implicit with optional explicit typing","structural","static"
"Gosu","safe","partially implicit (local type inference)","nominal (subclassing) and structural (structural)","static"
"Groovy","safe","implicit with optional explicit typing","","dynamic with optional static typing"
"Harbour","safe","implicit with optional explicit typing","","dynamic"
"Haskell","safe","implicit with optional explicit typing","structural","static"
"Haxe","safe","implicit with optional explicit typing","nominal (subclassing) and structural (structural)","static with optional dynamic typing"
"Io","safe","implicit","","dynamic"
"ISLISP","safe","","","dynamic"
"J","safe","","","dynamic"
"Java","safe","explicit","nominal","static"
"JavaScript","safe","implicit","structural","dynamic"
"Julia","safe","implicit with optional explicit typing","",""
"Joy","safe","","","dynamic"
"Kotlin","safe","partially implicit (local type inference)","nominal","static"
"LabVIEW","safe","","",""
"Lua","safe","implicit","","dynamic"
"Maple","safe","","","dynamic"
"Mathematica","safe","","","dynamic"
"MATLAB M-code","safe","","","dynamic"
"Modula-2","unsafe","explicit","nominal","static"
"Modula-3","unsafe","explicit","structural","static"
"Oberon","safe","explicit","nominal","static and partially dynamic"
"Objective-C","safe","explicit","nominal","dynamic with optional static typing"
"OCaml","safe","implicit with optional explicit typing","structural","static"
"Object Pascal (Delphi)","safe","explicit","nominal","static"
"Opa","safe","implicit with optional explicit typing","structural","static"
"Oxygene","unsafe","implicit","","static"
"Oz","safe","implicit","structural","dynamic"
"Pascal","unsafe","explicit","nominal","static"
"Perl 5","","implicit","","dynamic"
"Perl 6","","partially implicit","","dynamic with optional static typing"
"PHP","","implicit","","dynamic"
"Plus","safe","explicit","structural","static, dynamic (optional)"
"Prolog","","","","dynamic"
"Pure","","","","dynamic"
"Python","safe","implicit","structural","dynamic"
"REBOL","safe","implicit","","dynamic"
"RPG","unsafe","","","static"
"Ruby","safe","implicit","structural","dynamic"
"Rust","safe","implicit with optional explicit typing","","static with optional dynamic typing"
"S","","","","dynamic"
"S-Lang","safe","implicit","","dynamic"
"Scala","safe","partially implicit (local type inference)","nominal (subclassing) and structural (structural)","static"
"Scheme","safe","implicit","","dynamic (latent)"
"Seed7","safe","explicit","nominal","static"
"Simula","safe","","","static"
"Smalltalk","safe","implicit","","dynamic"
"Standard ML","safe","implicit with optional explicit typing","structural","static"
"Tcl","","","","dynamic"
"Visual Basic","safe","implicit with optional explicit typing","nominal","static"
"Visual Basic .NET","unsafe","explicit","","static"
"Visual Prolog","safe","partially implicit","nominal","static"
"Windows PowerShell","safe","implicit","","dynamic"
"XL","safe","","nominal","static"
"Xojo","safe","explicit","nominal","static"
"Language","Type safety","Type expression","Type compatibility among composites","Type checking"
"Language","Failsafe I/O"
"Ada","Yes (exceptions)"
"ALGOL","Yes (exceptions or return value depending on function)"
"AutoHotkey","No (global ErrorLevel must be explicitly checked)"
"Bro","Yes"
"C","No"
"C++","No"
"C#","Yes"
"COBOL","No"
"Common Lisp","Yes"
"D","Yes"
"Eiffel","No – It actually depends on the library and it is not defined by the language"
"Erlang","Yes"
"Falcon","Yes"
"Fortran","Yes"
"GLBasic","No – Will generally cause program to crash"
"Go","No"
"Gosu","Yes"
"Harbour","Yes"
"Haskell","Yes"
"ISLISP","Yes"
"Java","Yes"
"Julia","Yes"
"Kotlin","Yes"
"LabVIEW","Yes"
"Lua","No (some functions do not warn or throw exceptions)"
"Mathematica","Yes"
"Object Pascal (Delphi)","Some"
"Objective-C","Yes (exceptions)"
"OCaml","Yes (exceptions)"
"Perl","No"
"PHP","Yes"
"Python","Yes"
"REBOL","Yes"
"Ruby","Yes"
"Rust","Yes"
"S","Unknown"
"Scala","Yes"
"Standard ML","Yes"
"Tcl","Yes"
"Visual Basic","Yes"
"Visual Prolog","Yes"
"Xojo","Yes"
"Language","Failsafe I/O"
"Language","Statements ratio","Lines ratio"
"C","1","1"
"C++","2.5","1"
"Fortran","2","0.8"
"Java","2.5","1.5"
"Perl","6","6"
"Smalltalk","6","6.25"
"Python","6","6.5"
