"Research Networking Tool","Link to Product Page","Developer/Owner","Open Source","Adopters"
"GENIUS","InfoEd GENIUS","InfoEd Global","No","Many Big Ten/CIC institutions"
"Google","Google search generated from an institution's home page or Google search limited to only one domain (e.g. university.edu)","Google","No (but anyone can access Google)","Anyone can access"
"HUBzero","HUBzero","Purdue University","Yes","Indiana CTSI, Indiana University, Purdue University, Notre Dame"
"iamResearcher","iamResearcher","University of Southampton, UK","Unknown","N/A (platform is directed toward individual researcher use)"
"iAMscientist","iAMscientist","iAMscientist.inc","No","Unknown"
"i2iConnect","i2iConnect","Indiana University","No (but original software from ThemesJoomla is)","N/A (platform is directed toward individual researcher use)"
"InCites","InCites","Thomson Reuters","No","100 research institutions and funding bodies globally"
"INDURE (Indiana Database for University Research Expertise)","INDURE","Indiana University / Purdue University","No","Ball State, Indiana University, Purdue University, University of Notre Dame"
"Knode","Knode","Knode","No","Multiple, anyone can use, collaborating with VIVO and UCSF"
"Lattes Platform","Lattes","CNPq - Brazil","Unknown","N/A (Platform is directed toward individual researcher use in Brazil)"
"LatticeGrid","LatticeGrid public Wiki","Northwestern University Clinical and Translational Sciences Institute (NUCATS) - Biomedical Informatics Center (NUBIC)","Yes","Northwestern Feinberg School of Medicine & Cancer Center, UCSF Cancer Center, Fox Chase Cancer Center, University of Michigan, Case Western University"
"LinkedIn","LinkedIn","LinkedIn","No (but LinkedIn is free to use)","N/A (Platform is directed toward individual researcher use. Millions of users are registered globally.)"
"Life Science Network","Life Science Network","Life Science Network gGmbH","Yes (upon request)","Anyone can use."
"Loki","Loki","University of Iowa","No","University of Iowa Institute for Clinical and Translational Science"
"McCormick Collaboration Visualization Tool","Collaboration at McCormick","Northwestern University","No","McCormick School of Engineering and Applied Science at Northwestern University"
"Mendeley","Mendeley","Mendeley","No","Anyone can use"
"MizzouLinks","none available","University of Missouri","Unknown","University of Missouri"
"MyScienceWork","MyScienceWork","Unknown","No (but anyone can register and use the network)","Anyone can register and use. The network is directed at the individual researcher"
"OSU:pro","OSU:pro","Ohio State University","No (but can be licensed)","Ohio State University"
"Pivot","Pivot","ProQuest, LLC","No","100 university campuses and research organizations globally"
"Profiles Research Networking Software","Profiles","Harvard University","Yes (BSD license)","Harvard, UCSF, and many others (see Profiles users )"
"REACH NC Life Science Experts Visualization Tool","REACH NC","RENCI (Renaissance Computing Institute, a collaboration between University of North Carolina at Chapel Hill, Duke University and North Carolina State University) Duke Research Triangle Institute University of North Carolina General Administration","No (but free to the public)","Appalachian State University Duke University East Carolina University Elizabeth City State University Fayetteville State University NC A&T North Carolina Central University North Carolina State University RTI International UNC-Asheville  University of North Carolina at Chapel Hill UNC-Charlotte UNC-Greensboro UNC-Pembroke UNC-Wilmington Western Carolina University Winston-Salem State University"
"Research Accelerator","YCCI Research Accelerator","ResearchAccelerator.org","Unknown","Yale University"
"ResearcherID","ResearcherID","Thomson Reuters","No (but ResearcherID network is free to access and use by individual users)","N/A (Platform is directed toward individual researcher use)"
"SciENcv","SciENcv","A pilot program sponsored by the Federal Demonstration Partnership and the National Science and Technology Council (NSTC) supported by the STAR METRICS program","Yes","Sponsored by the Federal Demonstration Partnership and the NSTC's interagency groups: Research Business Model (RBM) and Science of Science Policy (SoSP)"
"Symplectic Elements","Symplectic Elements","Symplectic","No (However, an open source VIVO Harvester extension is available.)","60+ major research institutions around the world, including the University of Cambridge (UK), University of Oxford (UK), University of Melbourne (AUS), Duke University (US), University of Auckland (NZ), Cornell University (US), Georgia Tech (US).  (see Some of Symplectic's clients)"
"VIVO","VIVO and VIVO at Sourceforge","Cornell University (original developers) and University of Florida","Yes","Cornell University, University of Florida, Washington University in St. Louis, Weill Cornell Medical College, Indiana University, Ponce School of Medicine, Scripps Research Institute, Duke University, University of Colorado at Boulder, Northwestern University, University of Nebraska, University of Melbourne, Griffith University, Chinese Academy of Sciences, etc. There are currently over 50 VIVO implementations in the United States and international VIVO projects in over 25 countries."
"WorkWeb","WebWork at archive.org","Columbia University","No","Columbia University"
"Yaffle","Yaffle","Memorial University of Newfoundland","Yes","Memorial University of Newfoundland"
"Research Networking Tool","Data Source / Infeed Functionality","Auto Ingest?","Linked Open Data?","Data Export Types"
"Academic Room","Manual entry of data by users. May be some auto-ingest of PubMed citation data","Unknown","Unknown","Unknown"
"Activity Insight","Info collected by (1) integrating Digital Measures into faculty reporting system(s), (2) importing existing info from systems like Banner, Datatel, PeopleSoft, or SIS+.","Yes","Unknown","Unknown"
"C-IKNOW","Network Surveys, automated upload for any kind of network data including archival, scientometric, webometric and computer log data. Also import data in GraphML, RDF, and DL (used by UCINET)","Yes(for defined data)","Yes","RDF, XML/RDF"
"Collaborative Partnership / Profile System","Universities and institutions' own databases and websites (""think Orbitz for research profiles"")","Yes (needs to be set up by each university/ institution)","Unknown","Unknown"
"Community Academic Profiles - CAP","CAP automatically generates a profile for all faculty, physicians, students, postdocs and staff (both academic and administrative) in the School of Medicine. Data flows automatically from a variety of source systems.","Yes","Unknown","Unknown"
"Curvita Profile Manager","Information collected from university systems","Yes","Unknown","Unknown"
"CUSP - Columbia University Scientific Profiles","Databases for employees and grants; PubMed for publications","Yes","Unknown","Unknown"
"Digital Vita","PubMed, some from HR system, direct input from investigators. System authenticates users through an application developed by the IT group that supports the Senior Vice Chancellor of Health Sciences; that system accesses the HR system for data about employees' rank and status (active or not); Working with the grants office to get a regular report of data from their proposal database. Manually entered publications/presentations automatically forwarded to co-authors.","Yes (Some)","Yes","PDF, RTF"
"Elsevier's Pure (now integrated with SciVal Experts)","Sources include Scopus, the largest abstract and citation database of peer-reviewed research literature, Web of Science, PubMed, Embase, Mendeley, arXiv, Worldcat, CrossRef, Journal TOC, CAB Abstracts, SAO/NASA Astrophysics Data System and SciVal Funding opportunities; Data from institutions' internal systems, including HR data, grants, publications, patents, core facilities/resources, etc. Researchers or proxy users can enter additional content into the profiles, including research statements, research interest keywords, publications, grants, patents, books, creative works, education, researcher datasets, press clippings, awards and honors; free text can also be imported. Integration with all major institutional repositories.","Yes","Yes","XML, RDF, SPARQL, CSV, CERIF XML, MS Word, Excel, PDF, ATOM/XML web services, EndNote/Reference Manager, BibTex, various government assessment submission formats"
"Elsevier's SciVal (previously SciVal Spotlight and SciVal Strata)","Scopus, the largest abstract and citation database of peer-reviewed research literature","Yes","No","XML, MS Excel"
"Epernicus Solutions & Epernicus Network","Data entered by applicant","No","Unknown","Unknown"
"ERIM Member Profile System (ERIM MIS)","ERIM MIS database, Erasmus Publication Repository, Oracle portal","Yes","Unknown","Unknown"
"EUREKA! Enhancing Student Research","Information about  faculty research interests","No","Unknown","Unknown"
"Expertise @ Maryland","Central university faculty database","Yes","Unknown","Unknown"
"Faculty Profile System","Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)","No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system)","Unknown","Unknown"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","FSP Database (2007–2008)","Yes","Unknown","Unknown"
"GENIUS","InfoEd proprietary grant funding databases","Yes (But only of InfoEd database data. Faculty profile information must be entered manually.)","Unknown","Unknown"
"Google","Institution's directory, news releases, and other institutional websites","Yes","Yes","Many types, depending on the format of the file retrieved."
"HUBzero","Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education","Yes","Yes","Unknown"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","PubMed","Yes","Unknown","Unknown"
"i2iConnect","Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features","Yes","Unknown","Unknown"
"InCites","Thomson Reuters Web of Knowledge","No","No","XML, .mbb"
"INDURE (Indiana Database for University Research Expertise)","Faculty-entered information about research, faculty home pages","Yes? (Partial?)","Unknown","Unknown"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","Medical School Faculty database, PubMed, InfoEd, Northwestern's  eIRB database","Yes","Yes","Microsoft Word, Excel, PDF"
"LinkedIn","Information entered manually by user","No","Unknown","Unknown"
"Life Science Network","PubMed / Information entered manually by user.","No","Yes","CSV (for some modules)."
"Loki","Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services","Yes (Partial)","Unknown","Unknown"
"McCormick Collaboration Visualization Tool","Thomson Reuters Web of Science","Yes","Unknown","Unknown"
"MizzouLinks","Information collected from interviews and imported from a few institutional systems","No","Unknown","Unknown"
"MyScienceWork","Information input by user","No","Unknown","Unknown"
"OSU:pro","OSU systems","Yes","Unknown","Unknown"
"Pivot","Combines editorially created data on funding opportunities and profiles.  Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.","Yes (for all citation data from sources listed in DataSource. Profiles editorially created, but user-generated profiles also included)","No","Unknown"
"Profiles Research Networking Software","HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data","Yes","Yes","XML, RDF, SPARQL"
"REACH NC Life Science Experts Visualization Tool","SciVal Experts, RAMSES","Yes","Yes","RSI, CSV, Web-service API"
"Research Accelerator","Information entered by individual members","No","Unknown","Unknown"
"ResearcherID","Manually entered  biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.","Yes (Partial; profiles created by administrators are pre-populated for individuals to review.)","No","None"
"SciENcv","Information that would normally be found in a curriculum vitae or biosketch","Yes","Unknown","Uses open data exchange standards"
"Symplectic Elements","Custom import from any internal data source via API, out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv, Cinii, CrossRef, DBLP, Europe PMC, figshare, PubMed, RePeC, Scopus, Web of Science, with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems, internal grant databases. Integration with all major repository technologies.","Yes Through integrated portals like VIVO and Profiles RNS","Yes Source for linked data","CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data),various government assessment submission formats"
"VIVO","PubMed, NIH RePORTER,  PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Knowledge (being developed); emphasis on verified data sources, many many others being ingested at various institutions.","Yes (manual data entry possible, too)","Yes","RDF, GraphXML, CSV file"
"Yaffle","Memorial University systems","Yes","Unknown","Unknown"
"Research Networking Tool","Interoperability with Institutional Enterprise Systems","Interoperability with External Systems","Integration with Add-on Components or Products","Regional, National, International or Federated Connectivity?"
"Academic Room","No","unknown","unknown","The system is voluntary, so national and international by active inclusion"
"Activity Insight","Yes","Yes (Banner, Datatel, PeopleSoft, or SIS+)","Unknown","No"
"C-IKNOW","No","Yes(is possible)","Unknown","No"
"Collaborative Partnership / Profile System","Yes","Yes (has API—works with SciVal Experts)","Unknown","Yes Currently only in Texas"
"Community Academic Profiles - CAP","Yes","Yes","Yes","No"
"Curvita Profile Manager","Yes","Yes","Unknown","No"
"CUSP - Columbia University Scientific Profiles","No","Yes PubMed only","Unknown","No"
"Digital Vita","No","Yes (only PubMed)","Unknown","Yes National federated connectivity through DIRECT2Experts"
"Elsevier's SciVal Experts","Yes institutions have access to Web Services in order to feed data into internal databases; Web Services can be consumed as directed by institution. SciVal Experts is currently ingesting a range of data from institutions' own systems, including grants data, HR data, interests and expertise data, publication databases, book listings and more.","Yes Scopus, PubMed, NIH RePORTER, SciVal Funding, institution's internal databases, including HR data, grants, publications, patents, etc.","Yes the Funding Recommendation module within Experts integrates with SciVal Funding, automatically recommending funding opportunities and suggested collaborators to profiled researchers with no manual effort.","Yes the SciVal Experts Community interconnects all participating SciVal Experts applications internationally into a single search (participation is voluntary); Additional functionality enables users to search across different institutions participating in DIRECT2experts network (including VIVO instances, Harvard Profiles, Stanford CAP, etc.). Institutions can participate in VIVO through SciVal Experts"
"Elsevier's SciVal Spotlight","No","No","No","No"
"Epernicus Solutions & Epernicus Network","Yes (Possible, for Epernicus Solutions)","No","Unknown","No"
"ERIM Member Profile System (ERIM MIS)","Yes","Yes ID resolver included, so links to external systems are created, like SSRN, ResearcherID, Google scholar alerts & Search, social mention search from personal page, MEEBO sharing possible, Tynt statistics included","Unknown","No"
"EUREKA! Enhancing Student Research","No","No","Unknown","No"
"Expertise @ Maryland","May be possible","No","Unknown","No"
"Faculty Profile System","No","No","Unknown","No"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown","No"
"GENIUS","Yes","Yes Only other InfoEd modules (SMARTS: Service that automatically sends notices of funding opportunities via email. You provide keywords that describe your research interests, and SMARTS matches those keywords with present funding programs; SPIN: Enables subscribers to directly search for all sponsored programs - past and present, contained within the InfoEd database)","Unknown","No"
"Google","No","Yes","Possibly","No"
"HUBzero","No","Yes PubMed; data is semantic web compliant as of August 2011","Possibly","No"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","No","Yes PubMed","Unknown","No"
"i2iConnect","No","No","Unknown","Yes"
"InCites","Yes (Institutions have access to Web Services in order to feed data into internal databases.)","Yes (From the publisher: Underlying data from InCites can be used with a variety of systems.)","Unknown","No"
"INDURE (Indiana Database for University Research Expertise)","No","No","Unknown","Yes for 4 Indiana institutions only"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","Yes InfoEd, eIRB, Medical School faculty database","Yes (PubMed)","Yes (Possible)","Yes National federated connectivity through DIRECT2Experts"
"LinkedIn","No","No","Unknown","No"
"Life Science Network","No","Yes (Pubmed)","No","No"
"Loki","Yes Possible","Yes","Unknown","No"
"McCormick Collaboration Visualization Tool","No","Yes Only Thomson Reuters Web of Science","Unknown","No"
"MizzouLinks","Maybe","No","Unknown","No"
"MyScienceWork","No","Unknown","Unknown","Yes"
"OSU:pro","No","Unknown","Unknown","No"
"Pivot","No","Maybe","Unknown","Unknown"
"Profiles Research Networking Software","Yes","Yes Pubmed, commercial sources of publication data, semantic web applications via VIVO ontology.","Yes","Yes Profiles Users Group has regular conference calls and works on collaborative software development projects. Profiles can perform federated queries across other Profiles instances, and with other products using linked open data (VIVO ontology) and the DIRECT2Experts API."
"REACH NC Life Science Experts Visualization Tool","Yes","Yes Through SciVal API","No","No"
"Research Accelerator","No","No","Unknown","No"
"ResearcherID","No","Yes Through ResearcherID download service, institutions can load data into their internal systems. Also is integrated with other Thomson Reuters offerings, including Web of Knowledge, EndNote, and Research In View","Unknown","No"
"SciENcv","Yes (is possible through open data exchange standards)","Yes","Unknown","No"
"Symplectic Elements","Yes Clients have the ability to integrate with existing web profile management systems, export data for business intelligence solutions and easily submit research outcomes for various government assessment exercises. This includes HR, publications, teaching activities, grants, institutional repositories, and any other system providing or consuming research data.","Yes Elements integrates with a variety of external systems including: Altmetric, figshare, ORCID, Sherpa/RoMEO (licensing information), DOAJ (licensing information)","Yes Elements can be linked to all major open repository technologies and an open source VIVO Harvester extension is also available.","No"
"VIVO","Yes Data can be ingested from a wide variety of local sources (including HR, grants, course databases, institutional repositories, membership rosters, research interests, and many others) to reflect a complete view of the institution's priorities and efforts.","Yes see mini-grants <>; eagle-i; Drupal; many others - any tool that can consume open linked data.  Other ongoing collaborations with Wellspring (maintaining VIVO profiles with a focus upon tech transfer and also as a 3rd party implementation service provider) and with Symplectic.","Yes VIVO collaborates with eagle-I on research resources.  Future plans include adding many additional data types which are meaningful in the academic research setting.  VIVO data are structured using a comprehensive ontology designed for local extension and major ontology ""plugins"" such as BIBO and eagle-i.","Yes VIVO Consortium received $12.2M NIH ARRA U24 award in 2009 to fully develop software and create national system of federated research expertise directories/research networking systems; All other semantic web-compliant software platforms can be integrated into the consortium (example: Harvard Profiles).  Participant in Direct2Experts and VIVO Search"
"Yaffle","No","No","Unknown","The Canadian research funding councils as well as knowledge mobilization networks across the country (governments and universities) are working to develop a model to share what Yaffle has built"
"Research Networking Tool","Profiled User Population","Can Users Update Their Own Profile Data?","Type of Networking (Active or Passive)","Includes Functionality to Match Expertise with Funding Opportunities"
"Academic Room","Anyone can create a profile.  Profiled categories include ""Faculty"", ""Grad Students"", ""Undergrads"", ""Professionals""","Yes","Active","No"
"Activity Insight","Dictated by data source from institutional systems","Unknown","No networking","Unknown"
"C-IKNOW","Defined using Web of science ID or on an ad hoc basis","No","Active and Passive","No"
"Collaborative Partnership / Profile System","Dictated by data source from institutional systems","Unknown","Passive (Active coming in 2012)","Unknown"
"Community Academic Profiles - CAP","Active Stanford physicians, School of Medicine faculty, students, staff and postdocs.","Yes","Active and Passive","Unknown"
"Curvita Profile Manager","All","Unknown","No networking","Unknown"
"CUSP - Columbia University Scientific Profiles","All Columbia faculty","Yes","Active","Unknown"
"Digital Vita","All","Yes","Passive","Unknown"
"Elsevier's SciVal Experts","Any researchers can be included","Yes the Profile Enhancer module enables users to enter content into their profiles via forms. Content types supported include (but not limited to): Research Interests and Statements; Non-Scopus Articles, Books, Patents, Conference Proceedings; Grants; Teaching Information; Creative Works; Awards and Honors; Professional Information","Passive","Yes the Funding Recommendation module within Experts automatically recommends funding opportunities and suggested collaborators to profiled researchers with no manual effort."
"Elsevier's SciVal Spotlight","All published researchers","No, Spotlight links to profiles in Scopus. Researchers can submit feedback on profiles within Scopus.","Passive","No"
"Epernicus Solutions & Epernicus Network","Anyone who enters a profile (for Epernicus Network)","Yes (for Epernicus Network)","Passive","Unknown"
"Epistemio","Any researcher who creates a profile","Yes","N/A","No"
"ERIM Member Profile System (ERIM MIS)","Multiple faculties at Erasmus use it","Unknown","Active","Unknown"
"EUREKA! Enhancing Student Research","University of Texas at Austin faculty","Unknown","No networking","Unknown"
"Expertise @ Maryland","All","Unknown","Currently passive, but building active","Unknown"
"Faculty Profile System","Any faculty at UC Irvine","Yes","No networking","Unknown"
"Faculty Research Information Profile (FRIP)","N/A","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Federally funded, published faculty","Unknown","No networking","Unknown"
"GENIUS","Any faculty member who creates a profile on the system","Yes","Passive","Unknown"
"Google","Anyone can be searched on Google","N/A","No networking","No"
"HUBzero","Indiana University, Indiana University School of Medicine, Purdue University, U. of Notre Dame, Regenstrief","Unknown","Active","Unknown"
"iamResearcher","Any researcher who creates a profile","Yes","Passive (?)","Unknown"
"iAMscientist","Any researcher who creates a profile","Yes","Passive","Unknown"
"i2iConnect","Industry licensing representatives","Unknown","Passive","Unknown"
"InCites","All published","Yes","Passive","No"
"INDURE","All faculty at 4 Indiana institutions","Unknown","Passive","Unknown"
"LatticeGrid","Currently Medical School faculty only. Developed for biomedical research organizations","Yes Users can update the Medical School faculty database, which then feeds LatticeGrid","Passive","Yes Connected to a Northwestern tool called FacultyConnect to match faculty with a special limited set of Northwestern-specific non-federal funding opportunities in the life and biomedical sciences domains"
"Lattes Database","Curriculum and institutions database of Science and Technology areas in Brazil. Anyone can create a profile.","Yes","No apparent networking","Unknown"
"LinkedIn","Anyone who creates a LinkedIn profile","Yes","Passive and Active","Unknown"
"Life Science Network","Anyone who creates a profile","Yes","Active and Passive","No"
"Loki","All faculty at University of Iowa","Yes","Passive","Unknown"
"McCormick Collaboration Visualization Tool","All Northwestern publications from Web of Science","No","Passive","No"
"MizzouLinks","Currently a pilot group from two Missouri interdisciplinary centers","Unknown","Passive","Unknown"
"MyScienceWork","Anyone who creates a profile","Yes","Active and Passive","Unknown"
"OSU:pro","All OSU faculty","Unknown","No apparent networking","Unknown"
"Pivot","3 million profiles (and growing, according to the publisher).  Profiles are compiled even without user registration, but can only be viewed by registered users","Yes","Passive","Yes through a direct connection with the COS product"
"Profiles","All users as defined by each institution.  ""Profiles"" are also created for institutions, departments, concepts, publications, networks, events or any other class defined in the ontology","Yes","Passive and Active","No"
"ReachNC","UNC faculty in various disciplines, Duke, and RTI Fellows","Yes","Passive","No"
"Research Accelerator","Any member of the Yale research enterprise","Yes (?)","Passive","Unknown"
"ResearcherID","Anyone who creates a profile","Yes","Passive and Active","Unknown"
"SciENcv","Not yet established","Not yet established","No apparent networking","No"
"Symplectic Elements","All users may be included (as defined by institution).","Yes Profiles are automatically populated with data, as dictated by internal and external data feeds. Some profile data can be manually curated by end users, proxy users, or administrators. Users can create new relationships between elements.","Passive and Active","No"
"VIVO","All users (as defined by the institution)","Yes","Passive and Active","Possibly"
"Yaffle","All Memorial University faculty","Yes","Passive","Unknown"
"Research Networking Tool","Thesaurus/Controlled Vocabulary Used","Ontology/Ontologies Supported","Automatic Author Disambiguation"
"Academic Room","unknown","unknown","No"
"Activity Insight","Unknown","Unknown","Unknown"
"C-IKNOW","Not applicable","Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine","No (but can be done in conjunction with software developed at Northwestern University)"
"Collaborative Partnership / Profile System","Unknown","Unknown","In development"
"Community Academic Profiles - CAP","MeSH","Unknown","Yes  (partial)"
"Curvita Profile Manager","Unknown","Unknown","No"
"CUSP - Columbia University Scientific Profiles","Unknown","Unknown","Yes"
"Digital Vita","Unknown","Unknown","No (but can be done manually by authors)"
"Elsevier's SciVal Experts","""Elsevier Fingerprinting Engine"" uses nine thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.","Maps to VIVO ontology","Yes"
"Elsevier's SciVal Spotlight","None","None","Yes"
"Epernicus Solutions & Epernicus Network","Unknown","Unknown","No (can be done manually by authors)"
"ERIM Member Profile System (ERIM MIS)","Unknown","Unknown","Yes uses author ID numbers"
"EUREKA! Enhancing Student Research","Unknown","Unknown","No"
"Expertise @ Maryland","Unknown","Unknown","Yes"
"Faculty Profile System","Unknown","Unknown","No"
"Faculty Research Information Profile (FRIP)","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown"
"GENIUS","Unknown","Unknown","No"
"Google","None (Google uses generic keywords)","Unknown","No (but can be done manually through Google Scholar ""My Citations"" functionality)"
"HUBzero","Unknown","Unknown","No"
"iamResearcher","Unknown","Unknown","No"
"iAMscientist","Unknown","Unknown","No"
"i2iConnect","Unknown","Unknown","No"
"InCites","Unknown","Unknown","No (Though InCites can accept data from ResearcherID and Research in View profiling systems for disambiguation)"
"INDURE","Unknown","Unknown","N/A"
"LatticeGrid","MeSH","Uses elements of FOAF and other ontologies","No (but can be done manually by authors)"
"Lattes Database","Unknown","Unknown","Unknown"
"LinkedIn","None","Unknown","No"
"Life Science Network","Unknown","Unknown","No (but can be done manually)"
"Loki","Unknown","Unknown","Yes (uses campus directory for authentication)"
"McCormick Collaboration Visualization Tool","None","Unknown","Yes"
"MizzouLinks","Unknown","Unknown","No"
"MyScienceWork","Unknown","Unknown","No"
"OSU:pro","Unknown","Unknown","Unknown"
"Pivot","Unknown","Unknown","Yes"
"Profiles","MeSH, others are being developed to go beyond the life and biomedical sciences","VIVO RDF ontology with additional Profiles RDF classes and properties","Yes Harvard Profiles uses an XML-based ""disambiguation service"" to import Medline publications and uses configurable heuristics in its disambiguation algorithm"
"ReachNC","Scopus taxonomy uses MeSH and general keywords","Maps to VIVO ontology","Yes"
"Research Accelerator","Unknown","Unknown","No"
"ResearcherID","Unknown","Unknown","No (although authors can build their publication list and manually disambiguate)"
"SciENcv","No thesaurus used","Unknown","No"
"Symplectic Elements","MeSH, Fields of Research, ScienceMetrix.","Supports mapping of publication, person and grants data to the VIVO ontology via their open source VIVO Harvester Extension.","Yes"
"VIVO","VIVO uses several thesauri that are available through Semantic Web, including MeSH","The VIVO Ontology was developed and supported by NIH-funded efforts and continues to be developed and built upon through SourceForge and in collaboration with the eagle-i project.","Yes"
"Yaffle","Unknown","Unknown","Unknown"
"Research Networking Tool","h-index","Citation count","Altmetrics","SNIP and SJR","Journal Impact Factor*","Other","Comment"
"Academic Room","","","","","","",""
"Activity Insight","","","","","","",""
"C-IKNOW","","","","","","",""
"Collaborative Partnership / Profile System","","","","","","",""
"Community Academic Profiles - CAP","","","","","","",""
"Curvita Profile Manager","","","","","","",""
"CUSP - Columbia University Scientific Profiles","","","","","","",""
"Digital Vita","","","","","","",""
"Elsevier's SciVal Experts","Yes","Yes","","","","",""
"Elsevier's SciVal Spotlight","Yes","Yes","","","","",""
"Epernicus Solutions & Epernicus Network","","","","","","",""
"ERIM Member Profile System (ERIM MIS)","","","","","","",""
"EUREKA! Enhancing Student Research","","","","","","",""
"Expertise @ Maryland","","","","","","",""
"Faculty Profile System","","","","","","",""
"Faculty Research Information Profile (FRIP)","","","","","","",""
"Faculty Scholarly Productivity Index","","","","","","",""
"GENIUS","","","","","","",""
"Google Scholar","Yes","","","","","",""
"HUBzero","","","","","","",""
"iamResearcher","","","","","","",""
"iAMscientist","","","","","","",""
"i2iConnect","","","","","","",""
"InCites","Yes","Yes","","","Yes","",""
"INDURE","","","","","","",""
"LatticeGrid","","","","","","",""
"Lattes Database","","","","","","",""
"LinkedIn","No","No","None","","","",""
"Life Science Network","No","No","Yes (views counts, recommendations, rating scores calculated from anonymous and non-anonymous contributions)","No","No (but journals can be entered into the database and their IF indicated)","",""
"Loki","","","","","","",""
"McCormick Collaboration Visualization Tool","","","","","","",""
"MizzouLinks","","","","","","",""
"MyScienceWork","","","","","","",""
"OSU:pro","","","","","","",""
"Pivot","","","","","","",""
