"S No.","Name","Operator","Manufacturer","Max Range","Missile mass","Warhead/Payload","Status","First flight","MIRV","Mobility","Accuracy (CEP)"
"29","Minuteman II","USA","Boeing","","","1.2 Mt","Inactive","1965","","Silo",""
"30","LGM-118 Peacekeeper","USA","Boeing, Martin Marietta, TRW,","9,600 km","96,750 kg","10  300 kt","Inactive","1983","Yes","Silo","120 m"
"31","Midgetman","USA","Martin Marietta","11,000 km","13,600 kg","475 kT","Inactive","1992","No","Small ICBM Hard Mobile Launcher","90 m"
"32","Trident II","UK 
USA","Lockheed Martin Space Systems","11,300 km+","58,500 kg","4  475 kt","Active","1987","Yes","Ohio-class and
Vanguard-class submarine","90â€“120 m"
"33","M4","France","EADS SPACE Transportation","5,000 km","36,000 kg","6  150 kt","Active","1985","Yes","Le Redoutable class submarine",""
"34","M45","France","AÃ©rospatiale/EADS SPACE Transportation","6,000 km","35,000 kg","6110 kt TNT","Active","1986","Yes","Triomphant class submarine","350 m"
"35","M51.1","France","EADS Astrium Space Transportation","10,000 km (or more)","52,000 kg","6 to 10  100 kt of TNT","Active","2006","Yes","Triomphant class submarine",""
"36","M51.2","France","EADS Astrium Space Transportation","10,000 km (or more)","52,000 kg","6 to 10  150kt of TNT","Under Development","","Yes","Triomphant class submarine",""
"37","DF-5","China","China Academy of Launch Technology","12,000 km","183,000 kg","5 Mt","Active","1971","No","","1,000 m"
"38","DF-5A","China","China Academy of Launch Technology","15,000 km","183,000 kg","4 Mt","Active","1983","Yes (Speculated)","Silo","1,000 m"
"39","DF-4","China","Factory 211 (Capital Astronautics Co.)","7,000 km","82,000 kg","3.3 Mt","Active","1975","Yes
(Speculated)","Silo","1,500 m"
"40","DF-31","China","Academy of Rocket Motors Technology (ARMT)","8,000 km","42,000 kg","1 Mt","Active","1999
(Reported)","No","Silo",""
"41","DF-31A","China","Academy of Rocket Motors Technology (ARMT)","12,000 km","42,000 kg","3 x 150 Kt","Under development","","Yes","Silo",""
"42","DF-41","China","China Academy of Launch Vehicle","12,000 km","","1 Mt (single)","","","Yes
(Speculated)","Silo, road-mobile TEL",""
"43","JL-2","China","Factory 307 (Nanjing Dawn Group)","12,000 km","42,000 kg","","Under development","2001
(Believed)","","Type 094 Jin class submarine",""
"44","Agni-V","India","Defence Research and Development Organization","5,500 km","50,000 kg","1,500 kg","Testing","2012","Yes","Road or Rail mobile","N/A"
"45","Agni-VI","India","Defence Research and Development Organization","10,000 km","70,000 kg","","Under development","","Yes (4-6)","Road or Rail mobile",""
"46","Surya","India","Defence Research and Development Organization","16,000 km
(Speculated)","","","Unknown","","","",""
"47","K-5 missile","India","Defence Research and Development Organisation","6,000 km","","1,000 kg","Under development","","","Arihant class submarine",""
"48","K4 missile
(mk. II)","India","Defence Research and Development Organisation","5,000 km","17,000 kg","2,500 kg","Testing
(First Variant)","","","Arihant class submarine",""
"49","Taepodong-2","North Korea","","6,000 km
(Speculated)","79,189 kg","","Under Development","2006","","Launch Pad","1,500 m"
"50","Jericho III","Israel","Israel Aerospace Industries","4,800 - 11,500 km
(Speculated)","30,000 kg","750 kg single or MIRVs 
(Suspected)","Active
(Suspected)","2008","Yes","Road Mobile","N/A"
