"FreeArc","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GNU tar","No","Yes","No","Yes","No","Separate","Yes","Yes","Unknown","Unknown"
"iArchiver","Yes","No","Yes","Yes","No","No","No","Yes","Unknown","Unknown"
"Info-ZIP","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Weak","No"
"IZArc","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"KGB Archiver","Yes","Not enabled by default","Yes","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PKZIP","Yes","Yes","Yes","No","Separate","Separate","No","Yes","Unknown","Unknown"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"StuffIt","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown"
"The Unarchiver","No","some formats","Yes","No","No","Yes","Yes","Yes","Yes","/!\ This cell is not defined /!\"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinAce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown"
"WinRAR","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WinZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XAD","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xarchiver","Yes","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown"
"","Data compression","Shell integration","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode file /
directory names","Encryption","Filename Encryption"
"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image"
"7-Zip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"ALZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"Archive Utility","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","No","No","No","No","No"
"Ark","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"B1 Free Archiver","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes"
"BetterZip","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes"
"Bitser","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"bsdtar/libarchive","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"cpio","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Disk ARchiver","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"File Roller","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes"
"Filzip","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No"
"FreeArc","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"GNU tar","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"iArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No"
"Info-ZIP","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"IZArc","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"KGB Archiver","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","Yes","No","No","No","No","No"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"PKZIP","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"Star","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"StuffIt","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"The Unarchiver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Partial","Yes","No","No","Yes","Yes","Yes","Yes"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"WinAce","Yes","Yes","Yes","No","No","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes"
"WinRAR","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes"
"WinZip","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"XAD","Yes","Yes","Yes","Yes","No","Unknown","Yes","Yes","Partial","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"Xarchiver","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes"
"ZipGenius","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes"
"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image"
"","ZIP","TAR","gzip","bzip2","7z","xz","RAR","LHA/LZH","ACE","StuffIt","StuffIt X","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image","WAR"
"7-Zip","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"ALZip","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","No","No","Yes","Yes","Unknown","Unknown"
"Archive Utility","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Ark","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"B1 Free Archiver","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"BetterZip","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Bitser","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"bsdtar/libarchive","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Unknown"
"Disk ARchiver","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Unknown"
"File Roller","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown"
"Filzip","Yes","Yes","Yes","No","No","Unknown","No","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"FreeArc","No","Unknown","Unknown","Unknown","No","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown"
"GNU tar","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"iArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"Info-ZIP","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"IZArc","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Unknown"
"KGB Archiver","Yes","No","No","No","No","Unknown","No","No","No","No","No","No","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Unknown"
"PKZIP","Yes","Yes","Yes","Yes","No","Unknown","No","No","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Unknown"
"Star","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Unknown"
"StuffIt","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","No","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","No","Yes","No","Unknown","Unknown"
"WinAce","Yes","Yes","Yes","Yes","No","Unknown","No","Yes","Yes","No","No","No","No","Unknown","Unknown","Yes","Unknown","Yes","Unknown"
"WinRAR","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"WinZip","Yes","No","No","No","No","Unknown","No","Yes","No","No","No","No","No","Unknown","Yes","No","No","No","Unknown"
"Xarchiver","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","No","No","No","No","No","No","Unknown","Yes","No","No","Unknown"
"","ZIP","TAR","GZ","BZ/BZ2","7z","xz","RAR","LHA/LZH","ACE","SIT","SITX","ARJ","KGB","DAR","ARC","CAB","ALZ","ISO/CD Image","WAR"
